city,seed,backbone,group,n_requests,n_cats_supported,macroCatMRR_sit,macroCatMRR_steck,delta,ci_lo,ci_hi,kappa_sit,kappa_steck
yelp,46,SASRec,OFF-PRIOR,8853,16,0.117336,0.115942,0.001394,-0.001154,0.004264,0.05,0.05
kuairand,42,B_blind,ON-PRIOR,13002,8,0.441618,0.587221,-0.145603,-0.165513,-0.1349,0.1,0.25
kuairand,42,B_blind,OFF-PRIOR,39766,39,0.07462,0.074541,7.9e-05,-0.001037,0.00126,0.1,0.25
kuairand,42,EASE,ON-PRIOR,13002,8,0.362695,0.511675,-0.148981,-0.202373,-0.126569,0.05,0.05
kuairand,42,EASE,OFF-PRIOR,39766,39,0.069772,0.071566,-0.001795,-0.004099,0.000492,0.05,0.05
kuairand,42,AFM,ON-PRIOR,13002,8,0.231769,0.34935,-0.117581,-0.138585,-0.110024,0.25,0.25
kuairand,42,AFM,OFF-PRIOR,39766,39,0.064665,0.0674,-0.002736,-0.003398,-0.002086,0.25,0.25
kuairand,42,SASRec,ON-PRIOR,13002,8,0.511745,0.54293,-0.031184,-0.036749,-0.025892,0.05,0.05
kuairand,42,SASRec,OFF-PRIOR,39766,39,0.100052,0.100004,4.9e-05,-0.000485,0.000623,0.05,0.05
kuairand,43,B_blind,ON-PRIOR,13002,8,0.443279,0.587865,-0.144586,-0.165068,-0.134014,0.1,0.25
kuairand,43,B_blind,OFF-PRIOR,39766,39,0.074594,0.074554,4e-05,-0.001088,0.001195,0.1,0.25
kuairand,43,EASE,ON-PRIOR,13002,8,0.36305,0.513151,-0.150101,-0.203324,-0.127735,0.05,0.05
kuairand,43,EASE,OFF-PRIOR,39766,39,0.069661,0.071695,-0.002034,-0.004352,0.000251,0.05,0.05
kuairand,43,AFM,ON-PRIOR,13002,8,0.231895,0.349166,-0.117271,-0.138698,-0.109674,0.25,0.25
kuairand,43,AFM,OFF-PRIOR,39766,39,0.064669,0.067421,-0.002752,-0.003413,-0.002097,0.25,0.25
kuairand,43,SASRec,ON-PRIOR,13002,8,0.512372,0.542778,-0.030405,-0.035798,-0.025054,0.05,0.05
kuairand,43,SASRec,OFF-PRIOR,39766,39,0.10004,0.09995,9e-05,-0.000426,0.000674,0.05,0.05
kuairand,44,B_blind,ON-PRIOR,13002,8,0.441613,0.587224,-0.145611,-0.165522,-0.134903,0.1,0.25
kuairand,44,B_blind,OFF-PRIOR,39766,39,0.07462,0.07454,7.9e-05,-0.001035,0.00126,0.1,0.25
kuairand,44,EASE,ON-PRIOR,13002,8,0.362676,0.511643,-0.148966,-0.202375,-0.126529,0.05,0.05
kuairand,44,EASE,OFF-PRIOR,39766,39,0.069781,0.071566,-0.001785,-0.004084,0.000499,0.05,0.05
kuairand,44,AFM,ON-PRIOR,13002,8,0.231766,0.34935,-0.117584,-0.138589,-0.110023,0.25,0.25
kuairand,44,AFM,OFF-PRIOR,39766,39,0.064664,0.0674,-0.002736,-0.003397,-0.002088,0.25,0.25
kuairand,44,SASRec,ON-PRIOR,13002,8,0.511742,0.542936,-0.031194,-0.036761,-0.025901,0.05,0.05
kuairand,44,SASRec,OFF-PRIOR,39766,39,0.100048,0.100004,4.4e-05,-0.00049,0.000619,0.05,0.05
kuairand,45,B_blind,ON-PRIOR,13002,8,0.440992,0.588091,-0.1471,-0.166839,-0.136175,0.1,0.25
kuairand,45,B_blind,OFF-PRIOR,39766,39,0.074631,0.074542,8.9e-05,-0.001018,0.00128,0.1,0.25
kuairand,45,EASE,ON-PRIOR,13002,8,0.362399,0.51126,-0.148861,-0.202153,-0.126969,0.05,0.05
kuairand,45,EASE,OFF-PRIOR,39766,39,0.069789,0.071556,-0.001767,-0.00403,0.000531,0.05,0.05
kuairand,45,AFM,ON-PRIOR,13002,8,0.231796,0.350056,-0.118259,-0.139369,-0.110603,0.25,0.25
kuairand,45,AFM,OFF-PRIOR,39766,39,0.064806,0.067404,-0.002598,-0.003251,-0.001921,0.25,0.25
kuairand,45,SASRec,ON-PRIOR,13002,8,0.511682,0.543041,-0.031359,-0.036873,-0.0261,0.05,0.05
kuairand,45,SASRec,OFF-PRIOR,39766,39,0.100135,0.1,0.000135,-0.000406,0.000723,0.05,0.05
kuairand,46,B_blind,ON-PRIOR,13002,8,0.440988,0.588089,-0.147101,-0.166841,-0.136175,0.1,0.25
kuairand,46,B_blind,OFF-PRIOR,39766,39,0.074625,0.074541,8.3e-05,-0.001021,0.001275,0.1,0.25
kuairand,46,EASE,ON-PRIOR,13002,8,0.362321,0.511258,-0.148937,-0.202215,-0.127074,0.05,0.05
kuairand,46,EASE,OFF-PRIOR,39766,39,0.069781,0.07158,-0.001799,-0.00406,0.000498,0.05,0.05
kuairand,46,AFM,ON-PRIOR,13002,8,0.231796,0.350049,-0.118252,-0.139367,-0.11059,0.25,0.25
kuairand,46,AFM,OFF-PRIOR,39766,39,0.064799,0.067399,-0.0026,-0.003253,-0.001924,0.25,0.25
kuairand,46,SASRec,ON-PRIOR,13002,8,0.511658,0.543041,-0.031382,-0.036885,-0.026129,0.05,0.05
kuairand,46,SASRec,OFF-PRIOR,39766,39,0.100127,0.100001,0.000126,-0.000424,0.000715,0.05,0.05
