city,seed,backbone,phase,K,eps,kappa,gating,boundary_frac,macroCatMRR,CatMRR,HR20,NDCG20,Coverage,Gini,LT20
ml1m,42,EASE,keps,4,0.01,0.25,double,0.071,0.13333312146197798,0.3517801319472256,0.06682681920595891,0.02514472640160126,0.4279141104294479,0.906271691237198,0.036384124
ml1m,42,AFM,keps,4,0.01,0.25,double,0.071,0.22016669660373825,0.4393410640750792,0.09037130011625634,0.03497458288892483,0.3684049079754601,0.9234301196766836,0.05319139
ml1m,42,SASRec,keps,4,0.01,0.25,double,0.071,0.3413900491172537,0.5089238431627718,0.31859381269354625,0.13366404952700178,0.8432515337423313,0.5632724638599564,0.57937115
ml1m,42,B_blind,keps,4,0.03,0.25,double,0.2815,0.13319827644355675,0.3758837045956781,0.0625417956974866,0.023843276719041184,0.6892638036809816,0.7399154833007509,0.24415635
ml1m,42,EASE,keps,4,0.03,0.25,double,0.2815,0.13284298393817637,0.3711928817917651,0.07011903414644184,0.026304775441194757,0.43895705521472395,0.9080617277046639,0.02114528
ml1m,42,AFM,keps,4,0.03,0.25,double,0.2815,0.21817572823741352,0.439206967621173,0.08992033525722146,0.0349498635735218,0.36871165644171777,0.9241240353971174,0.052730992
ml1m,42,SASRec,keps,4,0.03,0.25,double,0.2815,0.33956731486072395,0.5126056074584528,0.3179765223922057,0.13367524758594512,0.842638036809816,0.5629358613916915,0.5780568
ml1m,42,B_blind,keps,4,0.05,0.25,double,0.3947,0.13412611062157498,0.37594544789027895,0.06271669461619976,0.023893607236443057,0.6886503067484663,0.7400398019697367,0.24414656
ml1m,42,EASE,keps,4,0.05,0.25,double,0.3947,0.13873649172405653,0.37496624887446683,0.07100210221641513,0.026620250398495884,0.4368098159509202,0.9095706865877649,0.023768248
ml1m,42,AFM,keps,4,0.05,0.25,double,0.3947,0.21939772756080153,0.4394695812465525,0.09019640119754319,0.03504411044052744,0.36871165644171777,0.9244129591325416,0.053073075
ml1m,42,SASRec,keps,4,0.05,0.25,double,0.3947,0.34123263973403384,0.513139364725367,0.31931398471177685,0.13406379020524464,0.841717791411043,0.5643749456005032,0.5778779
ml1m,42,B_blind,keps,4,0.1,0.25,double,0.6332,0.1327665601836234,0.37629905471059377,0.06260352472762065,0.023804103994665374,0.6886503067484663,0.7413513071690188,0.24216352
ml1m,42,EASE,keps,4,0.1,0.25,double,0.6332,0.13707521494844158,0.39595627247084897,0.07207893085319808,0.027015365538055253,0.4285276073619632,0.9188120598453478,0.016869517
ml1m,42,AFM,keps,4,0.1,0.25,double,0.6332,0.21698458802562365,0.4416764045674305,0.08983631518842787,0.03498169399507539,0.36595092024539877,0.9257016937044658,0.05133694
ml1m,42,SASRec,keps,4,0.1,0.25,double,0.6332,0.3418994615764051,0.5191678682582266,0.32007016533091903,0.13462855858175327,0.8414110429447853,0.5662192376565764,0.57818604
ml1m,42,B_blind,keps,5,0.01,0.25,double,0.0677,0.13628463364268734,0.377058209103512,0.0631076451403821,0.023963601191810666,0.688957055214724,0.7381171083648073,0.24746758
ml1m,42,EASE,keps,5,0.01,0.25,double,0.0677,0.13400833693117753,0.3530646580894895,0.06700171812467207,0.025222363793525254,0.4334355828220859,0.9036369292849777,0.049290627
ml1m,42,AFM,keps,5,0.01,0.25,double,0.0677,0.22065587861630684,0.43659509587511075,0.09028385065689976,0.034988816514396844,0.3745398773006135,0.9224796791251797,0.05458184
ml1m,42,SASRec,keps,5,0.01,0.25,double,0.0677,0.3418677016739046,0.5070103582879709,0.3181205567958518,0.1334696828456738,0.8438650306748466,0.5632308169622537,0.5792657
ml1m,42,B_blind,keps,5,0.05,0.25,double,0.3449,0.1356541738238022,0.3789967060763835,0.06306649245362607,0.024007599839264475,0.6883435582822086,0.7400019721099658,0.24496034
ml1m,42,EASE,keps,5,0.05,0.25,double,0.3449,0.143155884074969,0.3819547711369555,0.07169826850070474,0.026925487174959246,0.4368098159509202,0.9082861591206504,0.032281198
ml1m,42,AFM,keps,5,0.05,0.25,double,0.3449,0.21972200141813722,0.4399392056754913,0.09027356248521075,0.03506304930347241,0.37116564417177916,0.9237042464333969,0.05343625
ml1m,42,SASRec,keps,5,0.05,0.25,double,0.3449,0.34290324650214804,0.5139201535944073,0.3195969094332246,0.13416903817608414,0.8423312883435583,0.564471281389259,0.5773953
ml1m,42,B_blind,keps,5,0.1,0.25,double,0.6918,0.13337301072643937,0.37569716557187105,0.06293274622166894,0.02394298898883262,0.6852760736196319,0.7421426644988709,0.24176997
