gamma,depth,n,P,neigh_mean,plateau_width,self_ari
0.7,2,3,0.6015535921965713,0.6755165296473022,2,0.7017293678330164
0.8,3,3,0.6015535921965713,0.6722110150945209,3,0.7018587151129149
0.7,4,5,0.5911850484391902,0.716575808808825,3,0.6756675901583196
0.6,4,3,0.5911850484391902,0.711971584430997,3,0.7159135534720517
0.7,3,3,0.5911850484391902,0.6826774715332609,4,0.6472107900321123
0.8,4,3,0.5911850484391902,0.6823518437858134,1,0.6921795639584136
0.7,6,3,0.5840620817810326,0.7393656582132264,1,0.7731838264217694
0.7,5,5,0.5840620817810326,0.7316888516302414,2,0.7823707563780202
0.6,5,3,0.5840620817810326,0.7168464692835376,1,0.7615716172509706
0.8,5,3,0.5840620817810326,0.7049751585035228,1,0.6473032774412802
0.7,5,3,0.5840620817810326,0.6899461012853773,3,0.5840620817810326
0.7,4,3,0.5840620817810326,0.65103643797352,3,0.5911850484391902
