gamma,depth,n,city,K,eps,ari_mean,ari_min,n_iters,secs
0.6,2,3,bangkok,4,0.03,0.6403475503487361,0.5122647477209649,11,5.4
0.6,2,3,nyc_tist,6,0.02,0.6940614072914583,0.6776297155606976,39,5.1
0.6,2,3,saopaulo,8,0.02,0.6157018642205684,0.5354551785416343,21,5.3
0.6,2,3,tokyo_tist,4,0.05,0.6314235242314793,0.4471352863472189,57,20.2
0.6,2,5,istanbul,8,0.01,0.5224011500201248,0.41932783245415484,60,74.0
0.6,2,5,bangkok,4,0.03,0.8060867309426659,0.7091464244730946,23,7.5
0.6,2,5,nyc_tist,6,0.02,0.686647980204949,0.5863226755332003,42,5.3
0.6,2,5,saopaulo,8,0.02,0.6747637934544043,0.5873159391514859,38,7.9
0.6,2,5,tokyo_tist,4,0.05,0.9022872745600993,0.8534309118401489,11,7.6
0.6,2,7,istanbul,8,0.01,0.5667493229402466,0.4933819509890936,70,84.0
0.6,2,7,bangkok,4,0.03,0.6326492746495807,0.45079667950027535,17,6.5
0.6,2,7,nyc_tist,6,0.02,0.5855861806218413,0.5316463916479718,40,5.1
0.6,2,7,saopaulo,8,0.02,0.8991312975226972,0.8486996363050839,30,6.9
0.6,2,7,tokyo_tist,4,0.05,0.7598908084309048,0.6398362126463574,33,13.6
0.6,2,10,istanbul,8,0.01,0.6136154798591545,0.45461420541513536,28,39.6
0.6,2,10,bangkok,4,0.03,0.5956795416318122,0.5877984985518869,18,7.0
0.6,2,10,nyc_tist,6,0.02,0.6515038891868096,0.6256969591966093,37,5.1
0.6,2,10,saopaulo,8,0.02,0.8168155362921118,0.7699709946928973,29,6.8
0.6,2,10,tokyo_tist,4,0.05,0.7421817119256581,0.6132725678884873,34,14.1
0.6,3,3,istanbul,8,0.01,0.831157982016005,0.7467369730240074,53,65.6
0.6,3,3,bangkok,4,0.03,0.6707370137014147,0.5998338844908934,35,9.7
0.6,3,3,nyc_tist,6,0.02,0.6420460515211156,0.6035413030139495,15,3.0
0.6,3,3,saopaulo,8,0.02,0.8169353773397146,0.7974574824535122,45,9.1
0.6,3,3,tokyo_tist,4,0.05,0.7594388389193178,0.6975422393375029,32,13.4
0.6,3,5,istanbul,8,0.01,0.6620103009356201,0.615147484103684,48,61.0
0.6,3,5,bangkok,4,0.03,0.9978007079645691,0.9967010619468537,80,17.6
0.6,3,5,nyc_tist,6,0.02,0.9163343239054861,0.8745014858582293,80,8.9
0.6,3,5,saopaulo,8,0.02,0.7900409139972662,0.7020744605753401,58,11.1
0.6,3,5,tokyo_tist,4,0.05,0.7719040314508508,0.6742415722221388,56,20.3
0.6,3,7,istanbul,8,0.01,0.5718146958986607,0.5348312284478204,24,35.8
0.6,3,7,bangkok,4,0.03,0.9982749360030795,0.9974124040046192,80,18.6
0.6,3,7,nyc_tist,6,0.02,0.7312199721212634,0.6084964084722911,22,3.6
0.6,3,7,saopaulo,8,0.02,0.7051700229810335,0.625361777164051,27,6.5
0.6,3,7,tokyo_tist,4,0.05,0.785423195536544,0.6798467892742599,58,21.7
0.6,3,10,istanbul,8,0.01,0.6839094485483524,0.5799078894076307,25,36.2
0.6,3,10,bangkok,4,0.03,0.8087402231310575,0.7134498683939191,80,18.0
0.6,3,10,nyc_tist,6,0.02,0.921874665369787,0.8829918412145473,42,5.5
0.6,3,10,saopaulo,8,0.02,0.6784214164987247,0.5697228139340272,62,12.4
0.6,3,10,tokyo_tist,4,0.05,1.0,1.0,10,7.2
0.6,4,3,istanbul,8,0.01,0.5006107474808997,0.478048555353435,32,43.8
0.6,4,3,bangkok,4,0.03,0.8247277694670182,0.7370916542005272,60,14.2
0.6,4,3,nyc_tist,6,0.02,0.7470345158351113,0.6286491900522823,32,4.6
0.6,4,3,saopaulo,8,0.02,0.6646338010436755,0.5384756214570273,42,8.7
0.6,4,3,tokyo_tist,4,0.05,0.8425609335335538,0.763975977919561,57,20.9
0.6,4,5,istanbul,8,0.01,0.5976273292530578,0.5542249500442685,51,65.0
0.6,4,5,bangkok,4,0.03,0.5143191144885408,0.3893962278027385,15,6.5
0.6,4,5,nyc_tist,6,0.02,0.602812502159787,0.4798878987081119,27,4.1
0.6,4,5,saopaulo,8,0.02,0.897136993121979,0.8631636856406745,61,11.5
0.6,4,5,tokyo_tist,4,0.05,0.77685624968107,0.665284374521605,33,13.9
0.6,4,7,istanbul,8,0.01,0.5369348184014321,0.5192893282761538,31,43.9
0.6,4,7,bangkok,4,0.03,0.8730757477133322,0.8096149098520713,62,14.4
0.6,4,7,nyc_tist,6,0.02,0.7395462062779661,0.6093925981321348,16,3.1
0.6,4,7,saopaulo,8,0.02,0.7082904376648901,0.6315950574864294,33,7.5
0.6,4,7,tokyo_tist,4,0.05,0.7417208235615274,0.6125812353422911,42,16.6
0.6,4,10,istanbul,8,0.01,0.6601978419835948,0.5347254940840607,38,50.6
0.6,4,10,bangkok,4,0.03,0.5500022825488774,0.39857602549908633,24,8.0
0.6,4,10,nyc_tist,6,0.02,0.6548113596114807,0.5941839557604994,25,4.0
0.6,4,10,saopaulo,8,0.02,0.772044980389821,0.6693151938772351,21,5.5
0.6,4,10,tokyo_tist,4,0.05,0.8433726677536914,0.765059001630537,34,14.5
0.6,5,3,istanbul,8,0.01,0.5620454587422355,0.463968814062789,28,40.9
0.6,5,3,bangkok,4,0.03,0.863368231964845,0.7953928380281698,23,7.7
0.6,5,3,nyc_tist,6,0.02,0.566396574596283,0.5019795490039658,22,3.7
0.6,5,3,saopaulo,8,0.02,0.8160478209514888,0.7251271189531813,18,4.9
0.6,5,3,tokyo_tist,4,0.05,1.0,1.0,20,10.3
0.6,5,5,istanbul,8,0.01,0.6902740388332607,0.58765626183228,25,36.3
0.6,5,5,bangkok,4,0.03,0.7115361449675954,0.5675694575692835,15,6.2
0.6,5,5,nyc_tist,6,0.02,0.9958560253331563,0.9937854657257253,28,4.2
0.6,5,5,saopaulo,8,0.02,0.7402967032874752,0.6323614179228352,43,9.1
0.6,5,5,tokyo_tist,4,0.05,1.0,1.0,21,10.7
0.6,5,7,istanbul,8,0.01,0.7587671044834196,0.6816128108341205,40,53.6
0.6,5,7,bangkok,4,0.03,0.9985840920839936,0.9978761415841241,12,5.4
0.6,5,7,nyc_tist,6,0.02,0.9992615995598166,0.9988923993397248,28,4.2
0.6,5,7,saopaulo,8,0.02,0.7469806081725862,0.6205673248779762,24,5.9
0.6,5,7,tokyo_tist,4,0.05,0.5186257988062143,0.31513653528014496,80,26.9
