dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
kuairand,B_full,45,Steck-b,1,25480,10850,0.08887486862814385,0.2841553440157821,38,False
kuairand,B_full,45,Steck-b,2,13614,7003,0.08179882079660544,0.34912617508245314,36,False
kuairand,B_full,45,Steck-b,3,5855,2039,0.10779668113358769,0.31152239414011257,25,False
kuairand,EASE,45,BASE,0,7819,2870,0.09036327118618494,0.262459889373762,32,False
kuairand,EASE,45,BASE,1,25480,10850,0.08067335411324374,0.26653955661740103,38,False
kuairand,EASE,45,BASE,2,13614,7003,0.08432201268688819,0.30203086010928826,36,False
kuairand,EASE,45,BASE,3,5855,2039,0.10649768791579049,0.2692748200342692,25,False
kuairand,EASE,45,SIT,0,7819,2870,0.09349747315115708,0.2696799542626935,32,False
kuairand,EASE,45,SIT,1,25480,10850,0.08189984427147884,0.2379302096474256,38,False
kuairand,EASE,45,SIT,2,13614,7003,0.05902121787063389,0.3115412644479455,36,False
kuairand,EASE,45,SIT,3,5855,2039,0.09058606844197423,0.2993831959491222,25,False
kuairand,EASE,45,Steck-b,0,7819,2870,0.0972955478324865,0.25478584340857496,32,False
kuairand,EASE,45,Steck-b,1,25480,10850,0.0884837367828727,0.2368487929305267,38,False
kuairand,EASE,45,Steck-b,2,13614,7003,0.08786492026914096,0.26652880951104957,36,False
kuairand,EASE,45,Steck-b,3,5855,2039,0.10671307889168193,0.2748105754036093,25,False
kuairand,DeepFM,45,BASE,0,7819,2870,0.09368067633254536,0.2186885351184642,32,False
kuairand,DeepFM,45,BASE,1,25480,10850,0.08000102586553248,0.2272051104355534,38,False
kuairand,DeepFM,45,BASE,2,13614,7003,0.07845156897799559,0.26162310001753075,36,False
kuairand,DeepFM,45,BASE,3,5855,2039,0.10954803936714097,0.22758743442624144,25,False
kuairand,DeepFM,45,SIT,0,7819,2870,0.09333823017346868,0.21920066794756318,32,False
kuairand,DeepFM,45,SIT,1,25480,10850,0.08127640546514941,0.2157901879001131,38,False
kuairand,DeepFM,45,SIT,2,13614,7003,0.06578471021873994,0.2988374673257455,36,False
kuairand,DeepFM,45,SIT,3,5855,2039,0.10171147827205688,0.2662040758702505,25,False
