dataset,n,seed,arm,kappa,K,eps,n_req,n_users,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,13,43,BASE,0.1,5,0.02,97199,6040,0.18139896977951314,0.4180835178926121,0.12762476980215845,0.05002832370676961
ml1m,13,43,PRIOR,0.1,5,0.02,97199,6040,0.1991886471528634,0.3311016362040291,0.1127172090247842,0.0453207632671526
ml1m,13,43,SIT,0.1,5,0.02,97199,6040,0.15933179168809772,0.3417908751069185,0.10361217708001111,0.04181784172616058
ml1m,13,43,PERM,0.1,5,0.02,97199,6040,0.11007714137184103,0.22302712800652744,0.06566939989094538,0.02747961447619731
ml1m,13,44,BASE,0.1,5,0.02,97199,6040,0.18139896977951314,0.4180835178926121,0.12762476980215845,0.05002832370676961
ml1m,13,44,PRIOR,0.1,5,0.02,97199,6040,0.19607383340281948,0.3256540703959359,0.1122542412987788,0.04512890947914729
ml1m,13,44,SIT,0.1,5,0.02,97199,6040,0.15948326001846758,0.340369309188702,0.10321093838413975,0.041691800432746624
ml1m,13,44,PERM,0.1,5,0.02,97199,6040,0.11071749981835811,0.2187672044777968,0.06588545149641457,0.02767572255634479
ml1m,13,45,BASE,0.1,5,0.02,97199,6040,0.18139896977951314,0.4180835178926121,0.12762476980215845,0.05002832370676961
ml1m,13,45,PRIOR,0.1,5,0.02,97199,6040,0.19917352962137608,0.3311130103478054,0.11269663268140619,0.04531506086417261
ml1m,13,45,SIT,0.1,5,0.02,97199,6040,0.1593162177871169,0.34179737080840883,0.1036018889083221,0.04181428437247972
ml1m,13,45,PERM,0.1,5,0.02,97199,6040,0.11043800411093091,0.22193641924542812,0.06589573966810358,0.02749939792015803
ml1m,13,46,BASE,0.1,5,0.02,97199,6040,0.18139896977951314,0.4180835178926121,0.12762476980215845,0.05002832370676961
ml1m,13,46,PRIOR,0.1,5,0.02,97199,6040,0.19892973167318914,0.331368855226603,0.1127069208530952,0.04532030352136419
ml1m,13,46,SIT,0.1,5,0.02,97199,6040,0.15956347981294997,0.3415685583753757,0.10362246525170012,0.04183611318594839
ml1m,13,46,PERM,0.1,5,0.02,97199,6040,0.10704651755352923,0.2218684127648962,0.06552536548729926,0.02723695981161238
ml1m,21,42,BASE,0.1,5,0.02,97199,6040,0.17343453437345968,0.4114063848397324,0.12085515283079044,0.046266464432673356
ml1m,21,42,PRIOR,0.1,5,0.02,97199,6040,0.1910851277158043,0.3586682731676934,0.11400323048591035,0.04428427257879911
ml1m,21,42,SIT,0.1,5,0.02,97199,6040,0.15930675860089116,0.35040594088960303,0.10334468461609687,0.04093763755645285
ml1m,21,42,PERM,0.1,5,0.02,97199,6040,0.11416889468444058,0.24658810723726912,0.07136904700665644,0.028851215754844364
ml1m,21,43,BASE,0.1,5,0.02,97199,6040,0.17343453437345968,0.4114063848397324,0.12085515283079044,0.046266464432673356
ml1m,21,43,PRIOR,0.1,5,0.02,97199,6040,0.19109380716635294,0.35866480222935454,0.11400323048591035,0.04428861521892649
